# Final state angular momentum:   1
# Broadening parameter (in eV):    0.350
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   33.94394394    0.00013317
   33.99399399    0.00013298
   34.04404404    0.00013281
   34.09409409    0.00013267
   34.14414414    0.00013255
   34.19419419    0.00013246
   34.24424424    0.00013238
   34.29429429    0.00013233
   34.34434434    0.00013229
   34.39439439    0.00013227
   34.44444444    0.00013226
   34.49449449    0.00013227
   34.54454454    0.00013229
   34.59459459    0.00013232
   34.64464464    0.00013236
   34.69469469    0.00013242
   34.74474474    0.00013249
   34.79479479    0.00013257
   34.84484484    0.00013266
   34.89489489    0.00013277
   34.94494494    0.00013289
   34.99499499    0.00013303
   35.04504505    0.00013318
   35.09509510    0.00013336
   35.14514515    0.00013355
   35.19519520    0.00013377
   35.24524525    0.00013401
   35.29529530    0.00013427
   35.34534535    0.00013455
   35.39539540    0.00013486
   35.44544545    0.00013519
   35.49549550    0.00013555
   35.54554555    0.00013593
   35.59559560    0.00013634
   35.64564565    0.00013677
   35.69569570    0.00013722
   35.74574575    0.00013770
   35.79579580    0.00013820
   35.84584585    0.00013872
   35.89589590    0.00013927
   35.94594595    0.00013984
   35.99599600    0.00014043
   36.04604605    0.00014104
   36.09609610    0.00014168
   36.14614615    0.00014234
   36.19619620    0.00014303
   36.24624625    0.00014375
   36.29629630    0.00014450
   36.34634635    0.00014528
   36.39639640    0.00014610
   36.44644645    0.00014696
   36.49649650    0.00014786
   36.54654655    0.00014880
   36.59659660    0.00014980
   36.64664665    0.00015084
   36.69669670    0.00015194
   36.74674675    0.00015309
   36.79679680    0.00015430
   36.84684685    0.00015557
   36.89689690    0.00015689
   36.94694695    0.00015827
   36.99699700    0.00015971
   37.04704705    0.00016120
   37.09709710    0.00016274
   37.14714715    0.00016433
   37.19719720    0.00016596
   37.24724725    0.00016763
   37.29729730    0.00016933
   37.34734735    0.00017106
   37.39739740    0.00017280
   37.44744745    0.00017456
   37.49749750    0.00017632
   37.54754755    0.00017809
   37.59759760    0.00017984
   37.64764765    0.00018159
   37.69769770    0.00018332
   37.74774775    0.00018503
   37.79779780    0.00018672
   37.84784785    0.00018840
   37.89789790    0.00019006
   37.94794795    0.00019170
   37.99799800    0.00019334
   38.04804805    0.00019497
   38.09809810    0.00019659
   38.14814815    0.00019823
   38.19819820    0.00019988
   38.24824825    0.00020155
   38.29829830    0.00020324
   38.34834835    0.00020496
   38.39839840    0.00020673
   38.44844845    0.00020853
   38.49849850    0.00021037
   38.54854855    0.00021226
   38.59859860    0.00021419
   38.64864865    0.00021617
   38.69869870    0.00021819
   38.74874875    0.00022025
   38.79879880    0.00022234
   38.84884885    0.00022445
   38.89889890    0.00022658
   38.94894895    0.00022872
   38.99899900    0.00023087
   39.04904905    0.00023300
   39.09909910    0.00023512
   39.14914915    0.00023722
   39.19919920    0.00023928
   39.24924925    0.00024131
   39.29929930    0.00024329
   39.34934935    0.00024523
   39.39939940    0.00024713
   39.44944945    0.00024898
   39.49949950    0.00025080
   39.54954955    0.00025258
   39.59959960    0.00025434
   39.64964965    0.00025608
   39.69969970    0.00025781
   39.74974975    0.00025955
   39.79979980    0.00026129
   39.84984985    0.00026305
   39.89989990    0.00026484
   39.94994995    0.00026667
   40.00000000    0.00026854
